question_id,domain,ll_T,ll_B,ll_P,dB,dP,dBP,top1_T,top1_B,top1_P,affected_B,affected_P
146,Business,404.98281062,404.98281062,404.98281062,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
148,Business,401.99054439,401.99054439,401.99054439,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
152,Business,414.7686631,414.7686631,414.7686631,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
157,Business,395.03258491,395.03258456,395.03258491,-3.500000502754119e-07,0.0,-3.500000502754119e-07,n00000240,n00000240,n00000240,1,0
160,Business,426.02244472,426.02244472,426.02244472,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
173,Business,414.21014395,414.21014395,414.21014395,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
175,Business,421.02511392,421.02511392,421.02511392,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
181,Business,415.03727217,415.03727217,415.03727217,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
182,Business,415.30601446,415.30601446,415.30601446,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
184,Business,416.17654384,416.17654384,416.17654384,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
185,Business,426.37128713,426.37128713,426.37128713,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
189,Business,408.97218236,408.97218236,408.97218236,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
190,Business,380.84311741,380.84310499,380.84210418,-1.2420000018664723e-05,-0.0010132300000122996,0.0010008099999936348,n00000078,n00000078,n00000078,1,1
191,Business,397.40464965,397.40191275,397.40464965,-0.0027369000000021515,0.0,-0.0027369000000021515,n00000142,n00000142,n00000142,1,0
195,Business,385.07693491,385.07693491,385.07693491,0.0,0.0,0.0,n00000077,n00000077,n00000077,0,0
199,Business,380.57810895,380.57783026,380.57810895,-0.0002786900000160131,0.0,-0.0002786900000160131,n00000219,n00000219,n00000219,1,0
200,Business,366.57659245,366.57662672,366.57609655,3.4269999957814434e-05,-0.0004959000000326341,0.0005301699999904486,n00000185,n00000185,n00000185,1,1
204,Business,394.14337803,394.14337803,394.14337803,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
209,Business,421.6223767,421.6223767,421.6223767,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
210,Business,382.36009766,382.36009766,382.36009766,0.0,0.0,0.0,n00000266,n00000266,n00000266,0,0
215,Business,418.18947085,418.18947085,418.18947085,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
216,Business,408.59592767,408.59592767,408.59592767,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
217,Business,410.63073966,410.63073966,410.63073966,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
218,Business,418.15998006,418.15998006,418.15998006,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
221,Business,413.43183759,413.43183759,413.43183759,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
222,Business,419.11986824,419.11986824,419.11986824,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
227,Business,405.08150161,405.08150161,405.08150161,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
231,Business,433.79129394,433.79129394,433.79129394,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
232,Business,393.57512773,393.57512773,393.57512773,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
233,Business,412.57001415,412.57001415,412.57001415,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
242,Business,406.96561776,406.96561776,406.96561776,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
245,Business,417.08890641,417.08890641,417.08890641,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
246,Business,396.55769666,396.55769666,396.55769666,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
263,Business,376.9256778,376.92438901,376.94180196,-0.0012887899999896035,0.01612416000000394,-0.017412949999993543,n00000181,n00000181,n00000181,1,1
264,Business,420.25957324,420.25957324,420.25957324,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
266,Business,388.14644508,388.14644508,388.14644508,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
272,Business,398.98948225,398.98948225,398.98948225,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
292,Business,403.86647136,403.86647136,403.86647136,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
294,Business,410.27887169,410.27887169,410.27887169,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
